goal,success,depth,elapsed_s,model,timeout,use_calls,steps_len
surj f ⟷ (∀y. ∃x. f x = y),True,1,29.996873140335083,gemini:gemini-3-flash-preview,False,2,2
(f ∘ (g ∘ h)) = ((f ∘ g) ∘ h),True,1,32.94989800453186,gemini:gemini-3-flash-preview,False,4,2
(a::int) + 0 = a,False,1,122.16267704963684,gemini:gemini-3-flash-preview,False,5,1
(∀x. P x ⟶ Q x) ⟶ ((∃x. P x) ⟶ (∃x. Q x)),True,1,29.228729963302612,gemini:gemini-3-flash-preview,False,7,2
map fst (zip xs ys) = take (min (length xs) (length ys)) xs,True,1,41.60035800933838,gemini:gemini-3-flash-preview,False,9,2
length (replicate n x) = n,True,1,25.721837997436523,gemini:gemini-3-flash-preview,False,11,2
(A ⟶ (B ⟶ C)) ⟶ (A ∧ B ⟶ C),True,1,31.448413133621216,gemini:gemini-3-flash-preview,False,13,2
min (m::nat) n + k = min (m + k) (n + k),True,1,25.633126258850098,gemini:gemini-3-flash-preview,False,15,2
(A - B) ∪ (A ∩ B) = A,True,1,30.2061870098114,gemini:gemini-3-flash-preview,False,17,2
(min (m::nat) n) + (max m n) = m + n,True,1,26.511910915374756,gemini:gemini-3-flash-preview,False,19,2
(0::nat) + m = m,True,1,31.086185932159424,gemini:gemini-3-flash-preview,False,21,2
(if A then B else B) = B,True,1,20.466902017593384,gemini:gemini-3-flash-preview,False,23,2
take n (take m xs) = take (min n m) xs,True,1,28.729071140289307,gemini:gemini-3-flash-preview,False,25,2
drop n (drop m xs) = drop (n + m) xs,True,1,27.70067572593689,gemini:gemini-3-flash-preview,False,27,2
(m::nat) + 0 = m,True,1,19.761571168899536,gemini:gemini-3-flash-preview,False,29,2
(f(x := f x)) = f,True,1,26.337481021881104,gemini:gemini-3-flash-preview,False,31,2
map id xs = xs,True,1,36.71048593521118,gemini:gemini-3-flash-preview,False,33,2
0 + (a::int) = a,True,1,18.9520480632782,gemini:gemini-3-flash-preview,False,35,2
min (m::nat) n ≤ m,True,1,21.480191230773926,gemini:gemini-3-flash-preview,False,37,2
Range (r O s) ⊆ Range s,True,1,31.142234086990356,gemini:gemini-3-flash-preview,False,39,2
Id O r = r,True,1,28.941763162612915,gemini:gemini-3-flash-preview,False,41,2
f ` (A ∩ B) ⊆ (f ` A) ∩ (f ` B),True,1,26.50972080230713,gemini:gemini-3-flash-preview,False,43,2
converse (r O s) = (converse s) O (converse r),True,1,25.521796703338623,gemini:gemini-3-flash-preview,False,45,2
"case_prod f (x,y) = f x y",True,1,25.781423807144165,gemini:gemini-3-flash-preview,False,47,2
length ([m..<m+n]) = n,True,1,24.051806926727295,gemini:gemini-3-flash-preview,False,49,2
map (g ∘ f) xs = map g (map f xs),True,1,22.24352502822876,gemini:gemini-3-flash-preview,False,51,2
(m::nat) ≠ 0 ⟷ (∃k. m = Suc k),True,1,44.07265782356262,gemini:gemini-3-flash-preview,False,53,2
x ∈ (A ∩ B) ⟷ (x ∈ A ∧ x ∈ B),True,1,41.64886498451233,gemini:gemini-3-flash-preview,False,55,2
-( (a::int) - b ) = b - a,True,1,20.37420892715454,gemini:gemini-3-flash-preview,False,57,2
Domain (Id_on A) = A,True,1,28.979241847991943,gemini:gemini-3-flash-preview,False,59,2
(∃x. P x ∧ Q x) ⟶ ((∃x. P x) ∧ (∃x. Q x)),True,1,23.398257970809937,gemini:gemini-3-flash-preview,False,61,2
x ≠ z ⟶ (f(x := y)) z = f z,True,1,43.9753680229187,gemini:gemini-3-flash-preview,False,63,2
rev (map f xs) = map f (rev xs),True,1,31.73617720603943,gemini:gemini-3-flash-preview,False,65,2
"zip (map f xs) (map g ys) = map (λp. (f (fst p), g (snd p))) (zip xs ys)",False,1,86.83721089363098,gemini:gemini-3-flash-preview,False,66,1
(m::nat) + Suc n = Suc (m + n),True,1,28.965222120285034,gemini:gemini-3-flash-preview,False,68,2
inj_on f A ⟷ (∀x∈A. ∀y∈A. f x = f y ⟶ x = y),True,1,29.020582914352417,gemini:gemini-3-flash-preview,False,70,2
map_sum id id s = s,True,1,23.226150274276733,gemini:gemini-3-flash-preview,False,72,2
filter P (rev xs) = rev (filter P xs),True,1,29.571286916732788,gemini:gemini-3-flash-preview,False,74,2
((a::int) + b) - c = a + (b - c),True,1,23.352898120880127,gemini:gemini-3-flash-preview,False,76,2
A ⊆ B ⟷ (A - B = {}),True,1,20.7443950176239,gemini:gemini-3-flash-preview,False,78,2
Domain (r O s) ⊆ Domain r,True,1,22.848236799240112,gemini:gemini-3-flash-preview,False,80,2
(g ∘ f) ` A = g ` (f ` A),True,1,21.824543952941895,gemini:gemini-3-flash-preview,False,82,2
(f ∘ id) = f,True,1,27.16295599937439,gemini:gemini-3-flash-preview,False,84,2
(id ∘ f) = f,True,1,20.464721202850342,gemini:gemini-3-flash-preview,False,86,2
{x∈A. P x ∨ Q x} = {x∈A. P x} ∪ {x∈A. Q x},True,1,25.509296894073486,gemini:gemini-3-flash-preview,False,88,2
