goal,success,depth,elapsed_s,model,timeout,use_calls,steps_len
trancl (r ∪ s) = trancl (trancl r ∪ trancl s),True,1,18.354219913482666,gemini:gemini-3-flash-preview,False,2,2
r ⊆ s ⟹ rtrancl r ⊆ rtrancl s,True,1,20.423650979995728,gemini:gemini-3-flash-preview,False,4,2
case_sum f g (Inl x) = f x,True,1,20.52624797821045,gemini:gemini-3-flash-preview,False,6,2
((P ⟶ Q) ∧ (Q ⟶ R)) ⟶ (P ⟶ R),True,1,17.766860961914062,gemini:gemini-3-flash-preview,False,8,2
(m + n) - n = m,False,1,65.25825905799866,gemini:gemini-3-flash-preview,False,22,1
rev (rev xs) = xs,True,1,15.347625970840454,gemini:gemini-3-flash-preview,False,24,2
(∃x. P x ∧ Q x) ⟶ (∃x. P x),True,1,17.252267837524414,gemini:gemini-3-flash-preview,False,26,2
0 < n ⟶ m div n * n ≤ m,False,2,124.96067094802856,gemini:gemini-3-flash-preview,False,51,2
(A ∩ (B ∪ C)) = (A ∩ B) ∪ (A ∩ C),True,1,15.236541032791138,gemini:gemini-3-flash-preview,False,53,2
(a::int) ≤ b ∨ b ≤ a,True,1,16.88626003265381,gemini:gemini-3-flash-preview,False,55,2
abs (a::int) ≥ 0,True,1,20.63754391670227,gemini:gemini-3-flash-preview,False,57,2
(P ∧ (Q ∨ R)) ⟶ ((P ∧ Q) ∨ (P ∧ R)),True,1,19.987943172454834,gemini:gemini-3-flash-preview,False,59,2
rev (map f xs) = map f (rev xs),True,1,16.424933910369873,gemini:gemini-3-flash-preview,False,61,2
length (rev xs) = length xs,True,1,16.551696062088013,gemini:gemini-3-flash-preview,False,63,2
n ≤ m ⟶ m - (m - n) = n,False,2,125.30937218666077,gemini:gemini-3-flash-preview,False,88,2
rev (xs @ ys) = rev ys @ rev xs,True,1,20.034616947174072,gemini:gemini-3-flash-preview,False,90,2
take (length xs) (xs @ ys) = xs,True,1,20.015021800994873,gemini:gemini-3-flash-preview,False,92,2
case_sum f g (Inr y) = g y,True,1,15.3023202419281,gemini:gemini-3-flash-preview,False,94,2
abs (-a) = abs a,False,1,61.524574995040894,gemini:gemini-3-flash-preview,False,108,1
(Id O r) = r,True,1,15.229144811630249,gemini:gemini-3-flash-preview,False,110,2
finite A ⟹ card (insert a A) = (if a∈A then card A else Suc (card A)),True,1,16.714282989501953,gemini:gemini-3-flash-preview,False,112,2
(A ⊆ B ∧ B ⊆ C) ⟶ (A ⊆ C),True,1,16.51547122001648,gemini:gemini-3-flash-preview,False,114,2
A ⊆ f -` (f ` A),True,1,17.2842960357666,gemini:gemini-3-flash-preview,False,116,2
